timestamp,event,location,visitId,plate,docNumber,product
2026-03-05T07:10:00,Ingreso,GATE,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T07:15:00,Pesaje entrada,SCALE_IN,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T07:30:00,Calada,SAMPLE_BAY_A,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T07:50:00,Resultado laboratorio,LAB,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T08:00:00,Descarga asignada,PIT_1,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T08:05:00,Inicio descarga,PIT_1,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T08:35:00,Fin descarga,PIT_1,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T08:45:00,Pesaje salida,SCALE_OUT,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T08:50:00,Egreso,EXIT,ej-001,AA 111 BB,CP-2026-001,SOJA
2026-03-05T09:00:00,Ingreso,GATE,ej-002,CC 222 DD,CP-2026-002,ACEITE
2026-03-05T09:20:00,Descarga asignada,LIQUID_BAY_1,ej-002,CC 222 DD,CP-2026-002,ACEITE
2026-03-05T09:25:00,Inicio descarga,LIQUID_BAY_1,ej-002,CC 222 DD,CP-2026-002,ACEITE
2026-03-05T10:10:00,Fin descarga,LIQUID_BAY_1,ej-002,CC 222 DD,CP-2026-002,ACEITE
2026-03-05T10:20:00,Egreso,EXIT,ej-002,CC 222 DD,CP-2026-002,ACEITE
