timestamp,event,location,visitId,plate,docNumber,product
2024-02-06T06:00:00,Cola exterior,GATE,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T06:05:00,Ingreso,GATE,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T06:10:00,Pesaje entrada,SCALE_IN,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T06:28:00,Calada,SAMPLE_BAY_A,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T06:32:00,Espera patio,YARD_A,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T06:55:00,Resultado laboratorio,LAB,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T07:05:00,Descarga asignada,PIT_1,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T07:25:00,Inicio descarga,PIT_1,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T07:58:00,Fin descarga,PIT_1,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T08:12:00,Pesaje salida,SCALE_OUT,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T08:20:00,Egreso,EXIT,sl-001,AA 100 BB,CP-SL-001,SOJA
2024-02-06T07:00:00,Ingreso,GATE,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T07:04:00,Documentación OK,GATE,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T07:15:00,Descarga asignada,LIQUID_BAY_2,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T07:30:00,Inicio descarga,LIQUID_BAY_2,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T08:55:00,Fin descarga,LIQUID_BAY_2,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T09:30:00,Egreso,EXIT,sl-002,CC 200 DD,REM-SL-100,ACEITE
2024-02-06T08:00:00,Ingreso,GATE,sl-003,EE 300 FF,,GIRASOL
2024-02-06T08:06:00,Pesaje entrada,SCALE_IN,sl-003,EE 300 FF,,GIRASOL
2024-02-06T08:22:00,Calada,SAMPLE_BAY_B,sl-003,EE 300 FF,,GIRASOL
2024-02-06T08:28:00,Espera patio,YARD_A,sl-003,EE 300 FF,,GIRASOL
