timestamp,event,location,visitId,plate,docNumber,product
2024-02-06T07:15:00,Cola exterior,GATE,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T07:18:00,Ingreso,GATE,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T07:22:00,Pesaje entrada,SCALE_IN,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T07:38:00,Calada,SAMPLE_BAY_A,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T07:42:00,Espera patio,YARD_A,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T08:05:00,Resultado laboratorio,LAB,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T08:15:00,Descarga asignada,PIT_1,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T08:35:00,Inicio descarga,PIT_1,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T09:05:00,Fin descarga,PIT_1,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T09:18:00,Pesaje salida,SCALE_OUT,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T09:22:00,Egreso,EXIT,ric-001,AB 123 CD,CP-2024-001,SOJA
2024-02-06T08:00:00,Ingreso,GATE,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T08:05:00,Pesaje entrada,SCALE_IN,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T08:22:00,Calada,SAMPLE_BAY_B,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T08:28:00,Espera patio,YARD_A,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T08:50:00,Resultado laboratorio,LAB,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T09:00:00,Descarga asignada,PIT_2,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T09:15:00,Inicio descarga,PIT_2,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T09:42:00,Fin descarga,PIT_2,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T09:58:00,Pesaje salida,SCALE_OUT,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T10:05:00,Egreso,EXIT,ric-002,EF 456 GH,CP-2024-002,GIRASOL
2024-02-06T08:30:00,Cola exterior,GATE,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T08:35:00,Ingreso,GATE,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T08:38:00,Documentación OK,GATE,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T09:10:00,Descarga asignada,LIQUID_BAY_1,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T09:25:00,Inicio descarga,LIQUID_BAY_1,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T10:40:00,Fin descarga,LIQUID_BAY_1,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T11:00:00,Egreso,EXIT,ric-003,IJ 789 KL,REM-2024-100,ACEITE
2024-02-06T09:10:00,Ingreso,GATE,ric-004,MN 111 OP,,SOJA
2024-02-06T09:15:00,Pesaje entrada,SCALE_IN,ric-004,MN 111 OP,,SOJA
2024-02-06T09:28:00,Calada,SAMPLE_BAY_A,ric-004,MN 111 OP,,SOJA
2024-02-06T09:32:00,Espera patio,YARD_A,ric-004,MN 111 OP,,SOJA
2024-02-06T09:55:00,Resultado laboratorio,LAB,ric-004,MN 111 OP,,SOJA
2024-02-06T10:05:00,Egreso,EXIT,ric-004,MN 111 OP,,SOJA
2024-02-06T10:00:00,Ingreso,GATE,ric-005,QR 222 ST,,GIRASOL
2024-02-06T10:05:00,Pesaje entrada,SCALE_IN,ric-005,QR 222 ST,,GIRASOL
2024-02-06T10:20:00,Calada,SAMPLE_BAY_A,ric-005,QR 222 ST,,GIRASOL
2024-02-06T10:25:00,Espera patio,YARD_B,ric-005,QR 222 ST,,GIRASOL
2024-02-06T10:45:00,Resultado laboratorio,LAB,ric-005,QR 222 ST,,GIRASOL
2024-02-06T11:00:00,Calada,SAMPLE_BAY_B,ric-005,QR 222 ST,,GIRASOL
2024-02-06T11:05:00,Espera patio,YARD_B,ric-005,QR 222 ST,,GIRASOL
2024-02-06T11:35:00,Resultado laboratorio,LAB,ric-005,QR 222 ST,,GIRASOL
2024-02-06T11:45:00,Descarga asignada,PIT_3,ric-005,QR 222 ST,,GIRASOL
2024-02-06T12:00:00,Inicio descarga,PIT_3,ric-005,QR 222 ST,,GIRASOL
2024-02-06T12:28:00,Fin descarga,PIT_3,ric-005,QR 222 ST,,GIRASOL
2024-02-06T12:32:00,Pesaje salida,SCALE_OUT,ric-005,QR 222 ST,,GIRASOL
2024-02-06T12:35:00,Egreso,EXIT,ric-005,QR 222 ST,,GIRASOL
2024-02-06T13:00:00,Ingreso,GATE,ric-anom,XX 999 YY,,SOJA
2024-02-06T13:05:00,Pesaje entrada,SCALE_IN,ric-anom,XX 999 YY,,SOJA
2024-02-06T13:25:00,Descarga asignada,PIT_1,ric-anom,XX 999 YY,,SOJA
2024-02-06T13:30:00,Inicio descarga,PIT_1,ric-anom,XX 999 YY,,SOJA
2024-02-06T14:00:00,Fin descarga,PIT_1,ric-anom,XX 999 YY,,SOJA
2024-02-06T14:10:00,Pesaje salida,SCALE_OUT,ric-anom,XX 999 YY,,SOJA
2024-02-06T14:15:00,Egreso,EXIT,ric-anom,XX 999 YY,,SOJA
